gender,age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,connectedToFacebook,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,countDetails,crypt,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online,isSystemProfile
F,25,4,8279,239,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,175,FALSE,TRUE,FALSE,FALSE
F,22,5,663,13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,138,FALSE,TRUE,FALSE,FALSE
F,20,3,22187,1015,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.119999997,FALSE,FALSE,FALSE,FALSE,FALSE,77.30000305,FALSE,FALSE,FALSE,FALSE
F,24,18,7339,180,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,194,FALSE,TRUE,TRUE,FALSE
F,24,13,18672,492,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.649999976,FALSE,FALSE,FALSE,FALSE,FALSE,318,FALSE,TRUE,TRUE,FALSE
F,23,6,19091,1348,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,175,FALSE,TRUE,FALSE,FALSE
F,20,14,29984,2389,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,81.40000153,FALSE,TRUE,FALSE,FALSE
F,24,1,5979,147,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,315,FALSE,FALSE,TRUE,FALSE
F,22,3,10450,421,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.540000021,FALSE,FALSE,FALSE,FALSE,FALSE,148,FALSE,TRUE,TRUE,FALSE
F,20,5,2612,117,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.920000017,FALSE,FALSE,FALSE,FALSE,FALSE,136,FALSE,TRUE,TRUE,FALSE
